year,state,office,district,stage,runoff,special,special_termend,candidate,party,writein,mode,candidatevotes,unofficial,fusion_ticket,state_po,state_fips,state_cen,state_ic
1920,ALABAMA,US SENATE,0,GEN,FALSE,FALSE,,OSCAR W. UNDERWOOD,DEMOCRAT,FALSE,TOTAL,154664,FALSE,FALSE,AL,1,63,41
1920,ALABAMA,US SENATE,0,GEN,FALSE,FALSE,,L. H. REYHOLDS,REPUBLICAN,FALSE,TOTAL,77337,FALSE,FALSE,AL,1,63,41
1920,ALABAMA,US SENATE,0,GEN,FALSE,FALSE,,A. M. FORSMAN,SOCIALIST,FALSE,TOTAL,1984,FALSE,FALSE,AL,1,63,41
1920,ALABAMA,US SENATE,0,GEN,FALSE,TRUE,1925,J. THOMAS HEFLIN,DEMOCRAT,FALSE,TOTAL,160680,FALSE,FALSE,AL,1,63,41
1920,ALABAMA,US SENATE,0,GEN,FALSE,TRUE,1925,C. P. LUNSFORD,REPUBLICAN,FALSE,TOTAL,68460,FALSE,FALSE,AL,1,63,41
1920,ALABAMA,US SENATE,0,GEN,FALSE,TRUE,1925,W. H. CHICHESTER,SOCIALIST,FALSE,TOTAL,2820,FALSE,FALSE,AL,1,63,41
1920,ARIZONA,US SENATE,0,GEN,FALSE,FALSE,,MARCUS A. SMITH,DEMOCRAT,FALSE,TOTAL,29169,FALSE,FALSE,AZ,4,86,61
1920,ARIZONA,US SENATE,0,GEN,FALSE,FALSE,,RALPH H. CAMERON,REPUBLICAN,FALSE,TOTAL,35893,FALSE,FALSE,AZ,4,86,61
1920,ARKANSAS,US SENATE,0,GEN,FALSE,FALSE,,THADDEUS H. CARAWAY,DEMOCRAT,FALSE,TOTAL,126477,FALSE,FALSE,AR,5,71,42
1920,ARKANSAS,US SENATE,0,GEN,FALSE,FALSE,,CHARLES F. COLE,REPUBLICAN,FALSE,TOTAL,65381,FALSE,FALSE,AR,5,71,42
1920,CALIFORNIA,US SENATE,0,GEN,FALSE,FALSE,,JAMES D. PHELAN,DEMOCRAT,FALSE,TOTAL,371580,FALSE,FALSE,CA,6,93,71
1920,CALIFORNIA,US SENATE,0,GEN,FALSE,FALSE,,JAMES S. EDWARDS,PROHIBITION,FALSE,TOTAL,57768,FALSE,FALSE,CA,6,93,71
1920,CALIFORNIA,US SENATE,0,GEN,FALSE,FALSE,,SAMUEL M. SHORTRIDGE,REPUBLICAN,FALSE,TOTAL,447835,FALSE,FALSE,CA,6,93,71
1920,CALIFORNIA,US SENATE,0,GEN,FALSE,FALSE,,ELVINA S. BEALS,SOCIALIST,FALSE,TOTAL,36545,FALSE,FALSE,CA,6,93,71
1920,COLORADO,US SENATE,0,GEN,FALSE,FALSE,,TULLY SCOTT,DEMOCRAT,FALSE,TOTAL,112890,FALSE,FALSE,CO,8,84,62
1920,COLORADO,US SENATE,0,GEN,FALSE,FALSE,,G. F. STEVENS,FARMER LABOR,FALSE,TOTAL,9041,FALSE,FALSE,CO,8,84,62
1920,COLORADO,US SENATE,0,GEN,FALSE,FALSE,,CHARLES S. THOMAS,NATIONAL,FALSE,TOTAL,8665,FALSE,FALSE,CO,8,84,62
1920,COLORADO,US SENATE,0,GEN,FALSE,FALSE,,SAMUEL D. NICHOLSON,REPUBLICAN,FALSE,TOTAL,156577,FALSE,FALSE,CO,8,84,62
1920,CONNECTICUT,US SENATE,0,GEN,FALSE,FALSE,,AUGUSTINE LONERGAN,DEMOCRAT,FALSE,TOTAL,131824,FALSE,FALSE,CT,9,16,1
1920,CONNECTICUT,US SENATE,0,GEN,FALSE,FALSE,,JOSEPHINE B. BENNETT,FARMER LABOR,FALSE,TOTAL,2076,FALSE,FALSE,CT,9,16,1
1920,CONNECTICUT,US SENATE,0,GEN,FALSE,FALSE,,EMIL L. G. HOHENTHAL,PROHIBITION,FALSE,TOTAL,2892,FALSE,FALSE,CT,9,16,1
1920,CONNECTICUT,US SENATE,0,GEN,FALSE,FALSE,,FRANK B. BRANDEGEE,REPUBLICAN,FALSE,TOTAL,216792,FALSE,FALSE,CT,9,16,1
1920,CONNECTICUT,US SENATE,0,GEN,FALSE,FALSE,,MARTIN PLUNKETT,SOCIALIST,FALSE,TOTAL,10118,FALSE,FALSE,CT,9,16,1
1920,CONNECTICUT,US SENATE,0,GEN,FALSE,FALSE,,CHARLES J. BACKOFEN,SOCIALIST LABOR,FALSE,TOTAL,1486,FALSE,FALSE,CT,9,16,1
1920,FLORIDA,US SENATE,0,GEN,FALSE,FALSE,,DUNCAN U. FLECTHER,DEMOCRAT,FALSE,TOTAL,98957,FALSE,FALSE,FL,12,59,43
1920,FLORIDA,US SENATE,0,GEN,FALSE,FALSE,,JOHN M. CHENEY,REPUBLICAN,FALSE,TOTAL,37065,FALSE,FALSE,FL,12,59,43
1920,FLORIDA,US SENATE,0,GEN,FALSE,FALSE,,G. A. KLOCK,REPUBLICAN,FALSE,TOTAL,2847,FALSE,FALSE,FL,12,59,43
1920,FLORIDA,US SENATE,0,GEN,FALSE,FALSE,,M. J. MARTIN,SOCIALIST,FALSE,TOTAL,3525,FALSE,FALSE,FL,12,59,43
1920,GEORGIA,US SENATE,0,GEN,FALSE,FALSE,,THOMAS E. WATSON,DEMOCRAT,FALSE,TOTAL,124630,FALSE,FALSE,GA,13,58,44
1920,GEORGIA,US SENATE,0,GEN,FALSE,FALSE,,HARRY S. EDWARDS,PROLEAGUE INDEPENDENT,FALSE,TOTAL,6700,FALSE,FALSE,GA,13,58,44
1920,IDAHO,US SENATE,0,GEN,FALSE,FALSE,,JOHN F. NUGENT,DEMOCRAT,FALSE,TOTAL,64513,FALSE,FALSE,ID,16,82,63
1920,IDAHO,US SENATE,0,GEN,FALSE,FALSE,,FRANK R. GOODING,REPUBLICAN,FALSE,TOTAL,75985,FALSE,FALSE,ID,16,82,63
1920,ILLINOIS,US SENATE,0,GEN,FALSE,FALSE,,PETER A. WALLER,DEMOCRAT,FALSE,TOTAL,554372,FALSE,FALSE,IL,17,33,21
1920,ILLINOIS,US SENATE,0,GEN,FALSE,FALSE,,JOHN FITZPATRICK,FARMER LABOR,FALSE,TOTAL,50749,FALSE,FALSE,IL,17,33,21
1920,ILLINOIS,US SENATE,0,GEN,FALSE,FALSE,,FRANK B. VENNUM,PROHIBITION,FALSE,TOTAL,10186,FALSE,FALSE,IL,17,33,21
